"Year","Sex","agegroup","UF","pop"
2010,"f","30-34","Bahia",606154
2010,"f","30-34","Ceara",342564
2010,"f","30-34","Distrito Federal",136036
2010,"f","30-34","Espirito Santo",153955
2010,"f","30-34","Goias",273157
2010,"f","30-34","Maranhao",258191
2010,"f","30-34","Mato Grosso",133489
2010,"f","30-34","Mato Grosso Do Sul",102688
2010,"f","30-34","Minas Gerais",816400
2010,"f","30-34","Para",311273
2010,"f","30-34","Paraiba",155378
2010,"f","30-34","Parana",431683
2010,"f","30-34","Pernambuco",377415
2010,"f","30-34","Piaui",128914
2010,"f","30-34","Rio De Janeiro",694948
2010,"f","30-34","Rio Grande Do Norte",130679
2010,"f","30-34","Rio Grande Do Sul",415070
2010,"f","30-34","Rondonia",67456
2010,"f","30-34","Roraima",18898
2010,"f","30-34","Santa Catarina",258134
2010,"f","30-34","Sao Paulo",1839340
2010,"f","30-34","Sergipe",89895
2010,"f","30-34","Tocantins",58434
2010,"f","35-39","Acre",24246
2010,"f","35-39","Alagoas",113371
2010,"f","35-39","Amapa",23822
2010,"f","35-39","Amazonas",117520
2010,"f","35-39","Bahia",511216
2010,"f","35-39","Ceara",302694
2010,"f","35-39","Distrito Federal",114137
2010,"f","35-39","Espirito Santo",133909
2010,"f","35-39","Goias",244076
2010,"f","35-39","Maranhao",208413
2010,"f","35-39","Mato Grosso",117947
2010,"f","35-39","Mato Grosso Do Sul",93365
2010,"f","35-39","Minas Gerais",731932
2010,"f","35-39","Para",258346
2010,"f","35-39","Paraiba",137164
2010,"f","35-39","Parana",408455
2010,"f","35-39","Pernambuco",338205
2010,"f","35-39","Piaui",108162
2010,"f","35-39","Rio De Janeiro",632141
2010,"f","35-39","Rio Grande Do Norte",116755
2010,"f","35-39","Rio Grande Do Sul",384315
2010,"f","35-39","Rondonia",59369
2010,"f","35-39","Roraima",15019
2010,"f","35-39","Santa Catarina",239659
2010,"f","35-39","Sao Paulo",1656685
2010,"f","35-39","Sergipe",78987
2010,"f","35-39","Tocantins",47671
2010,"f","40-44","Acre",20243
2010,"f","40-44","Alagoas",103358
2010,"f","40-44","Amapa",18658
2010,"f","40-44","Amazonas",94993
2010,"f","40-44","Bahia",470584.000000001
2010,"f","40-44","Ceara",286160
2010,"f","40-44","Distrito Federal",100261
2010,"f","40-44","Espirito Santo",126725
2010,"f","40-44","Goias",222313
2010,"f","40-44","Maranhao",184763
2010,"f","40-44","Mato Grosso",105664
2010,"f","40-44","Mato Grosso Do Sul",86847
2010,"f","40-44","Minas Gerais",711583
2010,"f","40-44","Para",216479
2010,"f","40-44","Paraiba",129483
2010,"f","40-44","Parana",399587
2010,"f","40-44","Pernambuco",310061
2010,"f","40-44","Piaui",99971
2010,"f","40-44","Rio De Janeiro",608215
